timestamp,original_user_message,event_title,user_selected_calendar_name
2025-11-17T23:45:06.675745,Wakeup and Routine,Wakeup and Routine,My Routine
2025-11-17T23:45:06.675912,Exercise,Exercise,My Routine
2025-11-17T23:45:06.676348,Complete Duolingo Task and Read Book: Make It Stick,Complete Duolingo Task and Read Book: Make It Stick,My Routine
2025-11-17T23:45:06.676679,Wakeup and Routine ,Wakeup and Routine ,My Routine
2025-11-17T23:45:06.677016,Duolingo and meditation ,Duolingo and meditation ,My Routine
2025-11-17T23:45:06.677681,Exercise ,Exercise ,My Routine
2025-11-17T23:45:06.678180,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.678357,Mathematics Test,Mathematics Test,My Routine
2025-11-17T23:45:06.678651,Book Reading ,Book Reading ,My Routine
2025-11-17T23:45:06.678855,Wakeup and Routine ,Wakeup and Routine ,My Routine
2025-11-17T23:45:06.679004,Duolingo,Duolingo,My Routine
2025-11-17T23:45:06.679175,Duolingo,Duolingo,My Routine
2025-11-17T23:45:06.679341,Book Reading,Book Reading,My Routine
2025-11-17T23:45:06.679498,Exercise,Exercise,My Routine
2025-11-17T23:45:06.679720,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.680017,Book Reading,Book Reading,My Routine
2025-11-17T23:45:06.680416,Sanskrit Exam - Preboard 1,Sanskrit Exam - Preboard 1,My Routine
2025-11-17T23:45:06.680576,Lunch and Rest,Lunch and Rest,My Routine
2025-11-17T23:45:06.680731,Duolingo,Duolingo,My Routine
2025-11-17T23:45:06.680904,Exercise,Exercise,My Routine
2025-11-17T23:45:06.681099,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.681257,"Read Make it Stick, Stretch, Meditate, Sleep","Read Make it Stick, Stretch, Meditate, Sleep",My Routine
2025-11-17T23:45:06.681434,Wake Up and Routine,Wake Up and Routine,My Routine
2025-11-17T23:45:06.681751,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.681950,SSC Exam - Preboard 1,SSC Exam - Preboard 1,My Routine
2025-11-17T23:45:06.682303,Exercise,Exercise,My Routine
2025-11-17T23:45:06.682593,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.682882,Wakeup and Routine,Wakeup and Routine,My Routine
2025-11-17T23:45:06.683231,Read Make it Stick,Read Make it Stick,My Routine
2025-11-17T23:45:06.683524,Science Exam - Preboard 1,Science Exam - Preboard 1,My Routine
2025-11-17T23:45:06.683789,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.683996,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.684143,Read Make It Stick,Read Make It Stick,My Routine
2025-11-17T23:45:06.684278,Read Make It Stick,Read Make It Stick,My Routine
2025-11-17T23:45:06.684400,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.684582,English Exam - Preboard 1,English Exam - Preboard 1,My Routine
2025-11-17T23:45:06.684742,Exercise,Exercise,My Routine
2025-11-17T23:45:06.684936,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.685125,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.685275,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.685402,AI Exam - Preboard 1,AI Exam - Preboard 1,My Routine
2025-11-17T23:45:06.685525,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.685648,BREAK,BREAK,My Routine
2025-11-17T23:45:06.685769,Maths Exam - Preboard 1,Maths Exam - Preboard 1,My Routine
2025-11-17T23:45:06.685904,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.686073,Physics and Chemistry Test,Physics and Chemistry Test,My Routine
2025-11-17T23:45:06.686213,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.686334,Morning Routine,Morning Routine,My Routine
2025-11-17T23:45:06.686456,Read MAKE IT STICK,Read MAKE IT STICK,My Routine
2025-11-17T23:45:06.686581,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.686706,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.686827,Exercise Time,Exercise Time,My Routine
2025-11-17T23:45:06.686956,Go to Sleep while reading book,Go to Sleep while reading book,My Routine
2025-11-17T23:45:06.687083,Read MAKE IT STICK,Read MAKE IT STICK,My Routine
2025-11-17T23:45:06.687203,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.687324,Read MAKE IT STICK,Read MAKE IT STICK,My Routine
2025-11-17T23:45:06.687444,Exercise,Exercise,My Routine
2025-11-17T23:45:06.687574,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.687694,Wake Up + Morning Routine + Exercise,Wake Up + Morning Routine + Exercise,My Routine
2025-11-17T23:45:06.687814,Read MAKE IT STICK,Read MAKE IT STICK,My Routine
2025-11-17T23:45:06.687934,Duolingo,Duolingo,My Routine
2025-11-17T23:45:06.688051,Lunch And Break,Lunch And Break,My Routine
2025-11-17T23:45:06.688184,Read MAKE IT STICK,Read MAKE IT STICK,My Routine
2025-11-17T23:45:06.688321,Dinner and Reading,Dinner and Reading,My Routine
2025-11-17T23:45:06.688443,Check out Watch Later,Check out Watch Later,My Routine
2025-11-17T23:45:06.688565,Before Sleep Routine  + Reading,Before Sleep Routine  + Reading,My Routine
2025-11-17T23:45:06.688685,Wake Up + Morning Routine + Exercise,Wake Up + Morning Routine + Exercise,My Routine
2025-11-17T23:45:06.688805,Read MAKE IT STICK,Read MAKE IT STICK,My Routine
2025-11-17T23:45:06.688928,Duolingo,Duolingo,My Routine
2025-11-17T23:45:06.689047,Lunch and Reading,Lunch and Reading,My Routine
2025-11-17T23:45:06.689166,read MAKE IT STICK,read MAKE IT STICK,My Routine
2025-11-17T23:45:06.689287,Dinner and Reading,Dinner and Reading,My Routine
2025-11-17T23:45:06.689406,Before Sleep Routine + Reading,Before Sleep Routine + Reading,My Routine
2025-11-17T23:45:06.689537,Wake Up + Morning Routine + Exercise,Wake Up + Morning Routine + Exercise,My Routine
2025-11-17T23:45:06.689657,Lunch and book reading,Lunch and book reading,My Routine
2025-11-17T23:45:06.689777,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.689895,Book Reading,Book Reading,My Routine
2025-11-17T23:45:06.690012,Dinner and Reading,Dinner and Reading,My Routine
2025-11-17T23:45:06.690157,Before Sleep Routine + Reading,Before Sleep Routine + Reading,My Routine
2025-11-17T23:45:06.690281,Wake Up + Morning Routine + Exercise,Wake Up + Morning Routine + Exercise,My Routine
2025-11-17T23:45:06.690403,Science full syllabus test,Science full syllabus test,My Routine
2025-11-17T23:45:06.690535,Lunch and Book Reading,Lunch and Book Reading,My Routine
2025-11-17T23:45:06.690661,Reading books,Reading books,My Routine
2025-11-17T23:45:06.690795,Dinner and Book Reading,Dinner and Book Reading,My Routine
2025-11-17T23:45:06.690947,Before Sleep Routine + Reading,Before Sleep Routine + Reading,My Routine
2025-11-17T23:45:06.691121,Wake Up + Morning Routine + Exercise,Wake Up + Morning Routine + Exercise,My Routine
2025-11-17T23:45:06.691280,Lunch and Break,Lunch and Break,My Routine
2025-11-17T23:45:06.691409,Maths Revisiion,Maths Revisiion,My Routine
2025-11-17T23:45:06.691539,Break,Break,My Routine
2025-11-17T23:45:06.691703,Reading Book,Reading Book,My Routine
2025-11-17T23:45:06.691857,Dinner and Reading,Dinner and Reading,My Routine
2025-11-17T23:45:06.692004,Before Sleep Routine + Reading,Before Sleep Routine + Reading,My Routine
2025-11-17T23:45:06.692130,Wake Up + Morning Routine + Exercise,Wake Up + Morning Routine + Exercise,My Routine
2025-11-17T23:45:06.692268,Lunch and Break,Lunch and Break,My Routine
2025-11-17T23:45:06.692393,"Maths Revision
","Maths Revision
",My Routine
2025-11-17T23:45:06.692530,Book Reading,Book Reading,My Routine
2025-11-17T23:45:06.692653,Reading Book,Reading Book,My Routine
2025-11-17T23:45:06.692787,Read Book,Read Book,My Routine
2025-11-17T23:45:06.692908,Dinner and Reading,Dinner and Reading,My Routine
2025-11-17T23:45:06.693038,Before Sleep Routine + Reading,Before Sleep Routine + Reading,My Routine
2025-11-17T23:45:06.693161,Wake Up + Follow Morning Routine,Wake Up + Follow Morning Routine,My Routine
2025-11-17T23:45:06.693295,Go for Sprint  + Cycling + Skipping,Go for Sprint  + Cycling + Skipping,My Routine
2025-11-17T23:45:06.693418,Do Body Weight Exercises,Do Body Weight Exercises,My Routine
2025-11-17T23:45:06.693562,Bath + Eat Breakfast,Bath + Eat Breakfast,My Routine
2025-11-17T23:45:06.693689,Eat lunch and take break,Eat lunch and take break,My Routine
2025-11-17T23:45:06.693816,Solve Full syllabus maths test,Solve Full syllabus maths test,My Routine
2025-11-17T23:45:06.693939,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.694068,Eat dinner and read a book,Eat dinner and read a book,My Routine
2025-11-17T23:45:06.694215,Go to sleep while listening to a podcast or reading a book,Go to sleep while listening to a podcast or reading a book,My Routine
2025-11-17T23:45:06.694356,Wake Up + Follow Morning Routine,Wake Up + Follow Morning Routine,My Routine
2025-11-17T23:45:06.694482,Go for Sprint  + Cycling + Skipping,Go for Sprint  + Cycling + Skipping,My Routine
2025-11-17T23:45:06.694622,Do Body Weight Exercises,Do Body Weight Exercises,My Routine
2025-11-17T23:45:06.694745,Bath + Eat Breakfast,Bath + Eat Breakfast,My Routine
2025-11-17T23:45:06.694879,Read a book,Read a book,My Routine
2025-11-17T23:45:06.695009,Read a book,Read a book,My Routine
2025-11-17T23:45:06.695157,Lunch and break [ NO SCREEN ],Lunch and break [ NO SCREEN ],My Routine
2025-11-17T23:45:06.695305,Read a book,Read a book,My Routine
2025-11-17T23:45:06.695442,Eat dinner and read a book,Eat dinner and read a book,My Routine
2025-11-17T23:45:06.695567,Go to sleep while listening to a podcast or reading a book,Go to sleep while listening to a podcast or reading a book,My Routine
2025-11-17T23:45:06.695703,Wake Up + Follow Morning Routine,Wake Up + Follow Morning Routine,My Routine
2025-11-17T23:45:06.695826,Go for Sprint  + Cycling + Skipping,Go for Sprint  + Cycling + Skipping,My Routine
2025-11-17T23:45:06.695965,Do Body Weight Exercises,Do Body Weight Exercises,My Routine
2025-11-17T23:45:06.696098,Bath + Eat Breakfast,Bath + Eat Breakfast,My Routine
2025-11-17T23:45:06.696233,Read a book,Read a book,My Routine
2025-11-17T23:45:06.696420,Read a book,Read a book,My Routine
2025-11-17T23:45:06.696562,Lunch and break [ NO SCREEN ],Lunch and break [ NO SCREEN ],My Routine
2025-11-17T23:45:06.696698,Eat dinner and read a book,Eat dinner and read a book,My Routine
2025-11-17T23:45:06.696832,Go to sleep while listening to a podcast or reading a book,Go to sleep while listening to a podcast or reading a book,My Routine
2025-11-17T23:45:06.696953,Lunch and Break,Lunch and Break,My Routine
2025-11-17T23:45:06.697106,Read 20 pages of Make It Stick,Read 20 pages of Make It Stick,My Routine
2025-11-17T23:45:06.697279,Read 20 pages of Make It Stick,Read 20 pages of Make It Stick,My Routine
2025-11-17T23:45:06.697450,Dinner + Break,Dinner + Break,My Routine
2025-11-17T23:45:06.697576,Go to sleep while listening to a podcast or reading a book,Go to sleep while listening to a podcast or reading a book,My Routine
2025-11-17T23:45:06.697699,Wake Up + Follow Morning Routine,Wake Up + Follow Morning Routine,My Routine
2025-11-17T23:45:06.697821,Go for Sprint  + Cycling + Skipping,Go for Sprint  + Cycling + Skipping,My Routine
2025-11-17T23:45:06.697942,Do Body Weight Exercises,Do Body Weight Exercises,My Routine
2025-11-17T23:45:06.698062,Bath + Eat Breakfast,Bath + Eat Breakfast,My Routine
2025-11-17T23:45:06.698181,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.698300,Lunch and Solve Maths Questions,Lunch and Solve Maths Questions,My Routine
2025-11-17T23:45:06.698419,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.698539,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.698658,Read a book,Read a book,My Routine
2025-11-17T23:45:06.698781,Go to sleep while listening to a podcast or reading a book,Go to sleep while listening to a podcast or reading a book,My Routine
2025-11-17T23:45:06.698902,Wake Up + Follow Morning Routine,Wake Up + Follow Morning Routine,My Routine
2025-11-17T23:45:06.699023,Go for Sprint  + Cycling + Skipping,Go for Sprint  + Cycling + Skipping,My Routine
2025-11-17T23:45:06.699144,Do Body Weight Exercises,Do Body Weight Exercises,My Routine
2025-11-17T23:45:06.699263,Bath + Eat Breakfast,Bath + Eat Breakfast,My Routine
2025-11-17T23:45:06.699381,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.699500,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.699619,Lunch and Break,Lunch and Break,My Routine
2025-11-17T23:45:06.699737,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.699856,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.699975,Go to sleep while listening to a podcast or reading a book,Go to sleep while listening to a podcast or reading a book,My Routine
2025-11-17T23:45:06.700097,Wake Up + Follow Morning Routine,Wake Up + Follow Morning Routine,My Routine
2025-11-17T23:45:06.700232,Go for Sprint  + Cycling + Skipping,Go for Sprint  + Cycling + Skipping,My Routine
2025-11-17T23:45:06.700358,Bath + Eat Breakfast,Bath + Eat Breakfast,My Routine
2025-11-17T23:45:06.700480,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.700606,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.700726,Lunch and Break,Lunch and Break,My Routine
2025-11-17T23:45:06.700845,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.700964,Dinner + Control and Coordination,Dinner + Control and Coordination,My Routine
2025-11-17T23:45:06.701083,Go to sleep while listening to a podcast or reading a book,Go to sleep while listening to a podcast or reading a book,My Routine
2025-11-17T23:45:06.701205,Wake Up + Follow Morning Routine,Wake Up + Follow Morning Routine,My Routine
2025-11-17T23:45:06.701325,Go for Sprint  + Cycling + Skipping,Go for Sprint  + Cycling + Skipping,My Routine
2025-11-17T23:45:06.701445,Bath + Eat Breakfast,Bath + Eat Breakfast,My Routine
2025-11-17T23:45:06.701567,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.701691,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.701829,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.701970,Lunch and Book Reading,Lunch and Book Reading,My Routine
2025-11-17T23:45:06.702106,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.702269,Read a Book,Read a Book,My Routine
2025-11-17T23:45:06.702412,Dinner + Book Reading,Dinner + Book Reading,My Routine
2025-11-17T23:45:06.702551,Go to sleep while listening to a podcast or reading a book,Go to sleep while listening to a podcast or reading a book,My Routine
2025-11-17T23:45:06.702693,AI Mock Test Practical,AI Mock Test Practical,My Routine
2025-11-17T23:45:06.702826,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.702948,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.703075,Dinner + Book Reading,Dinner + Book Reading,My Routine
2025-11-17T23:45:06.703210,Journal Writing + Year Book ko likhna,Journal Writing + Year Book ko likhna,My Routine
2025-11-17T23:45:06.703345,Wake Up + Follow Morning Routine,Wake Up + Follow Morning Routine,My Routine
2025-11-17T23:45:06.703469,Go for Sprint  + Cycling + Skipping,Go for Sprint  + Cycling + Skipping,My Routine
2025-11-17T23:45:06.703603,Bath + Eat Breakfast,Bath + Eat Breakfast,My Routine
2025-11-17T23:45:06.703723,Lunch and Break Time,Lunch and Break Time,My Routine
2025-11-17T23:45:06.703843,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.703962,Daily Productivity 30 day Challenge after reading 20 pages book reading,Daily Productivity 30 day Challenge after reading 20 pages book reading,My Routine
2025-11-17T23:45:06.704089,Plan Next Day and Go To Sleep,Plan Next Day and Go To Sleep,My Routine
2025-11-17T23:45:06.704215,Wake Up + Follow Morning Routine,Wake Up + Follow Morning Routine,My Routine
2025-11-17T23:45:06.704336,Go for Sprint  + Cycling + Skipping,Go for Sprint  + Cycling + Skipping,My Routine
2025-11-17T23:45:06.704455,Bath + Eat Breakfast,Bath + Eat Breakfast,My Routine
2025-11-17T23:45:06.704574,Write Swadhyay Journal ,Write Swadhyay Journal ,My Routine
2025-11-17T23:45:07.426397,Tracking System,Tracking System,Projects / Work
2025-11-17T23:45:07.426767,Dhanvi Bday Video Editing,Dhanvi Bday Video Editing,Projects / Work
2025-11-17T23:45:07.426942,Course App,Course App,Projects / Work
2025-11-17T23:45:07.427098,Dhanvi Birthday Video,Dhanvi Birthday Video,Projects / Work
2025-11-17T23:45:07.427257,Dhanvi Birthday Video,Dhanvi Birthday Video,Projects / Work
2025-11-17T23:45:07.427381,LMS Development,LMS Development,Projects / Work
2025-11-17T23:45:07.427502,LMS DEVELOPMENT ,LMS DEVELOPMENT ,Projects / Work
2025-11-17T23:45:07.427632,Dhanvi Birthday Video,Dhanvi Birthday Video,Projects / Work
2025-11-17T23:45:07.427773,Dhanvi Birthday Video ,Dhanvi Birthday Video ,Projects / Work
2025-11-17T23:45:07.427903,LMS DEVELOPMENT ,LMS DEVELOPMENT ,Projects / Work
2025-11-17T23:45:07.428022,LMS Development,LMS Development,Projects / Work
2025-11-17T23:45:07.428160,Authentication,Authentication,Projects / Work
2025-11-17T23:45:07.428308,Sigma Web Development Course + Lunch,Sigma Web Development Course + Lunch,Projects / Work
2025-11-17T23:45:07.428449,Sigma Web Development Course + Dinner,Sigma Web Development Course + Dinner,Projects / Work
2025-11-17T23:45:07.428578,Sigma Web Development Course,Sigma Web Development Course,Projects / Work
2025-11-17T23:45:07.428702,Authentication,Authentication,Projects / Work
2025-11-17T23:45:07.428824,Sigma Web Development Course + Dinner,Sigma Web Development Course + Dinner,Projects / Work
2025-11-17T23:45:07.428963,Sigma Web Development Course,Sigma Web Development Course,Projects / Work
2025-11-17T23:45:07.429163,Sigma Web Development Course,Sigma Web Development Course,Projects / Work
2025-11-17T23:45:07.429300,Notion Making,Notion Making,Projects / Work
2025-11-17T23:45:07.429423,Dhanvi Project,Dhanvi Project,Projects / Work
2025-11-17T23:45:07.429544,Adding Routine Views to Productive Brain in Notion,Adding Routine Views to Productive Brain in Notion,Projects / Work
2025-11-17T23:45:07.429668,Write Swadhyay Script,Write Swadhyay Script,Projects / Work
2025-11-17T23:45:07.429809,Write Swadhyay Script,Write Swadhyay Script,Projects / Work
2025-11-17T23:45:07.429938,Swadhyay Speech Practice,Swadhyay Speech Practice,Projects / Work
2025-11-17T23:45:07.430108,Swadhyay Speech Practice,Swadhyay Speech Practice,Projects / Work
2025-11-17T23:45:07.430242,Swadhyay Speech Practice,Swadhyay Speech Practice,Projects / Work
2025-11-17T23:45:07.430364,"Make an Habit Calendar for rest of December, January and February","Make an Habit Calendar for rest of December, January and February",Projects / Work
2025-11-17T23:45:07.430613,Write the code and schematic for Door Project,Write the code and schematic for Door Project,Projects / Work
2025-11-17T23:45:07.430742,Build a Contacts App,Build a Contacts App,Projects / Work
2025-11-17T23:45:07.430864,Write Arduino Code,Write Arduino Code,Projects / Work
2025-11-17T23:45:07.431003,Make a Spaced Repition Varied Practice System,Make a Spaced Repition Varied Practice System,Projects / Work
2025-11-17T23:45:07.431128,Write the Arduino Code,Write the Arduino Code,Projects / Work
2025-11-17T23:45:07.431252,Learn about How CPU Works,Learn about How CPU Works,Projects / Work
2025-11-17T23:45:07.431391,Arduino Project Meeting,Arduino Project Meeting,Projects / Work
2025-11-17T23:45:07.431511,Make a Web-based birthday gift for Arnav,Make a Web-based birthday gift for Arnav,Projects / Work
2025-11-17T23:45:07.431633,Make Spaced Repitition and Varied Practice System,Make Spaced Repitition and Varied Practice System,Projects / Work
2025-11-17T23:45:07.431750,Make Spaced Repitition and Varied Practice System,Make Spaced Repitition and Varied Practice System,Projects / Work
2025-11-17T23:45:07.431870,Make Spaced Repitition and Varied Practice System,Make Spaced Repitition and Varied Practice System,Projects / Work
2025-11-17T23:45:07.431989,Make a perfect learning system,Make a perfect learning system,Projects / Work
2025-11-17T23:45:07.432113,Make a perfect learning system,Make a perfect learning system,Projects / Work
2025-11-17T23:45:07.432234,Make Habit system,Make Habit system,Projects / Work
2025-11-17T23:45:07.432353,Make Habit system,Make Habit system,Projects / Work
2025-11-17T23:45:07.432473,Make a perfect learning system,Make a perfect learning system,Projects / Work
2025-11-17T23:45:07.432593,Make a perfect learning system,Make a perfect learning system,Projects / Work
2025-11-17T23:45:07.432712,Make a perfect learning system,Make a perfect learning system,Projects / Work
2025-11-17T23:45:07.432831,Make a perfect learning system,Make a perfect learning system,Projects / Work
